genomeID,difference count,iterations,,,,,,,,,,,,,,,,,,,,
GCA_000003645,0,[],,,,,,,,,,,,,,,,,,,,
GCA_000003925,3,['6', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000003955,11,['12', '7', '2', '3', '2', '3', '1', '4', '1', '2', '0'],,,,,,,,,,
GCA_000008325,3,['4', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000008345,2,['5', '0'],,,,,,,,,,,,,,,,,,,
GCA_000008365,4,['4', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000008385,2,['1', '0'],,,,,,,,,,,,,,,,,,,
GCA_000008405,3,['6', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000008425,8,['10', '8', '9', '18', '11', '7', '1', '0'],,,,,,,,,,,,,
GCA_000008445,2,['2', '0'],,,,,,,,,,,,,,,,,,,
GCA_000008465,9,['10', '6', '6', '6', '3', '1', '1', '1', '0'],,,,,,,,,,,,
GCA_000008485,5,['6', '3', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000008505,10,['12', '2', '2', '1', '1', '2', '2', '1', '1', '0'],,,,,,,,,,,
GCA_000008525,5,['8', '4', '3', '2', '0'],,,,,,,,,,,,,,,,
GCA_000008545,4,['8', '3', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000008565,4,['7', '5', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000008585,3,['12', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000008605,7,['7', '7', '1', '3', '3', '1', '0'],,,,,,,,,,,,,,
GCA_000008625,3,['16', '7', '0'],,,,,,,,,,,,,,,,,,
GCA_000008685,6,['6', '2', '1', '1', '1', '0'],,,,,,,,,,,,,,,
GCA_000008725,2,['4', '0'],,,,,,,,,,,,,,,,,,,
GCA_000008745,3,['8', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000008765,7,['5', '5', '5', '2', '1', '1', '0'],,,,,,,,,,,,,,
GCA_000008785,6,['5', '8', '3', '1', '1', '0'],,,,,,,,,,,,,,,
GCA_000008805,10,['5', '3', '2', '4', '8', '7', '3', '5', '1', '0'],,,,,,,,,,,
GCA_000008865,5,['10', '14', '3', '1', '0'],,,,,,,,,,,,,,,,
GCA_000008885,2,['2', '0'],,,,,,,,,,,,,,,,,,,
GCA_000008925,6,['5', '1', '1', '1', '1', '0'],,,,,,,,,,,,,,,
GCA_000008945,8,['8', '5', '4', '3', '3', '2', '3', '0'],,,,,,,,,,,,,
GCA_000008985,3,['4', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000009005,4,['2', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000009025,8,['7', '1', '2', '1', '1', '1', '1', '0'],,,,,,,,,,,,,
GCA_000009045,5,['13', '9', '4', '3', '0'],,,,,,,,,,,,,,,,
GCA_000009065,10,['8', '3', '3', '7', '6', '6', '3', '1', '1', '0'],,,,,,,,,,,
GCA_000009085,3,['8', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000009105,8,['7', '4', '6', '5', '6', '4', '1', '0'],,,,,,,,,,,,,
GCA_000009125,8,['9', '8', '3', '2', '2', '2', '1', '0'],,,,,,,,,,,,,
GCA_000009145,6,['8', '2', '3', '2', '2', '0'],,,,,,,,,,,,,,,
GCA_000009165,3,['7', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000009205,7,['5', '2', '2', '2', '1', '1', '0'],,,,,,,,,,,,,,
GCA_000009225,3,['7', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000009245,2,['1', '0'],,,,,,,,,,,,,,,,,,,
GCA_000009265,3,['4', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000009285,8,['8', '2', '1', '4', '1', '1', '1', '0'],,,,,,,,,,,,,
GCA_000009305,3,['4', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000009325,2,['2', '0'],,,,,,,,,,,,,,,,,,,
GCA_000009345,16,['9', '4', '2', '2', '2', '2', '3', '3', '2', '3', '4', '8', '6', '3', '1', '0'],,,,,
GCA_000009365,4,['9', '4', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000009385,3,['6', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000009405,4,['5', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000009425,7,['5', '2', '1', '1', '1', '1', '0'],,,,,,,,,,,,,,
GCA_000009445,2,['4', '0'],,,,,,,,,,,,,,,,,,,
GCA_000009465,9,['5', '4', '2', '4', '5', '7', '4', '2', '0'],,,,,,,,,,,,
GCA_000009485,3,['6', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000009505,9,['8', '4', '3', '5', '7', '10', '6', '2', '0'],,,,,,,,,,,,
GCA_000009525,16,['7', '4', '2', '1', '1', '1', '2', '1', '3', '3', '6', '10', '6', '1', '1', '0'],,,,,
GCA_000009545,5,['4', '3', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000009565,6,['11', '11', '8', '4', '1', '0'],,,,,,,,,,,,,,,
GCA_000009585,4,['7', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000009605,5,['5', '1', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000009625,5,['8', '3', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000009645,3,['6', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000009665,4,['4', '4', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000009685,6,['6', '3', '3', '1', '1', '0'],,,,,,,,,,,,,,,
GCA_000009705,4,['8', '3', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000009725,5,['14', '8', '5', '3', '0'],,,,,,,,,,,,,,,,
GCA_000009745,9,['7', '4', '1', '1', '4', '2', '1', '1', '0'],,,,,,,,,,,,
GCA_000009765,7,['8', '3', '2', '2', '3', '1', '0'],,,,,,,,,,,,,,
GCA_000009785,4,['5', '1', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000009805,8,['10', '3', '2', '2', '3', '2', '2', '0'],,,,,,,,,,,,,
GCA_000009845,2,['7', '0'],,,,,,,,,,,,,,,,,,,
GCA_000009865,3,['7', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000009885,5,['10', '4', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000009905,3,['6', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000009925,4,['14', '5', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000009945,3,['9', '4', '0'],,,,,,,,,,,,,,,,,,
GCA_000009985,3,['9', '3', '0'],,,,,,,,,,,,,,,,,,
GCA_000010005,8,['12', '5', '1', '2', '4', '3', '1', '0'],,,,,,,,,,,,,
GCA_000010025,4,['6', '3', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000010045,9,['9', '11', '13', '10', '5', '1', '1', '1', '0'],,,,,,,,,,,,
GCA_000010065,7,['5', '5', '5', '3', '1', '1', '0'],,,,,,,,,,,,,,
GCA_000010085,4,['8', '1', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000010105,5,['10', '4', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000010125,2,['2', '0'],,,,,,,,,,,,,,,,,,,
GCA_000010145,6,['10', '11', '5', '1', '1', '0'],,,,,,,,,,,,,,,
GCA_000010165,4,['18', '11', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000010185,5,['2', '1', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000010205,4,['2', '1', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000010225,5,['17', '12', '4', '1', '0'],,,,,,,,,,,,,,,,
GCA_000010245,6,['8', '13', '11', '4', '1', '0'],,,,,,,,,,,,,,,
GCA_000010265,5,['6', '2', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000010285,3,['6', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000010305,4,['5', '1', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000010325,3,['11', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000010345,4,['20', '12', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000010365,6,['2', '3', '1', '1', '1', '0'],,,,,,,,,,,,,,,
GCA_000010385,5,['8', '10', '11', '4', '0'],,,,,,,,,,,,,,,,
GCA_000010405,2,['4', '0'],,,,,,,,,,,,,,,,,,,
GCA_000010425,6,['7', '3', '2', '1', '1', '0'],,,,,,,,,,,,,,,
GCA_000010445,4,['5', '3', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000010465,4,['6', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000010485,6,['10', '10', '10', '7', '1', '0'],,,,,,,,,,,,,,,
GCA_000010505,5,['11', '14', '5', '1', '0'],,,,,,,,,,,,,,,,
GCA_000010525,3,['9', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000010545,4,['7', '3', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000010565,5,['4', '1', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000010585,3,['5', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000010605,10,['7', '3', '3', '4', '3', '3', '2', '1', '1', '0'],,,,,,,,,,,
GCA_000010625,6,['10', '4', '1', '1', '1', '0'],,,,,,,,,,,,,,,
GCA_000010645,3,['3', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000010665,8,['8', '3', '1', '1', '1', '1', '1', '0'],,,,,,,,,,,,,
GCA_000010685,2,['7', '0'],,,,,,,,,,,,,,,,,,,
GCA_000010705,5,['6', '3', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000010725,4,['8', '3', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000010745,6,['10', '8', '11', '6', '2', '0'],,,,,,,,,,,,,,,
GCA_000010765,7,['10', '11', '10', '3', '2', '1', '0'],,,,,,,,,,,,,,
GCA_000010785,6,['8', '4', '6', '10', '4', '0'],,,,,,,,,,,,,,,
GCA_000010805,5,['7', '2', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000010825,5,['5', '3', '3', '1', '0'],,,,,,,,,,,,,,,,
GCA_000010845,8,['4', '2', '2', '2', '1', '2', '1', '0'],,,,,,,,,,,,,
GCA_000010865,5,['6', '2', '2', '2', '0'],,,,,,,,,,,,,,,,
GCA_000010885,5,['9', '3', '3', '1', '0'],,,,,,,,,,,,,,,,
GCA_000010905,7,['3', '3', '1', '1', '2', '1', '0'],,,,,,,,,,,,,,
GCA_000010925,3,['9', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000010945,5,['3', '2', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000010965,6,['6', '2', '3', '1', '2', '0'],,,,,,,,,,,,,,,
GCA_000010985,3,['3', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000011025,7,['6', '11', '10', '10', '5', '2', '0'],,,,,,,,,,,,,,
GCA_000011045,5,['7', '2', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000011065,4,['11', '6', '6', '0'],,,,,,,,,,,,,,,,,
GCA_000011145,5,['12', '5', '4', '1', '0'],,,,,,,,,,,,,,,,
GCA_000011165,5,['6', '4', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000011225,5,['6', '3', '2', '2', '0'],,,,,,,,,,,,,,,,
GCA_000011245,4,['5', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000011265,4,['5', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000011285,3,['8', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000011305,5,['11', '5', '4', '1', '0'],,,,,,,,,,,,,,,,
GCA_000011325,5,['15', '4', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000011345,5,['10', '3', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000011365,3,['7', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000011385,5,['6', '3', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000011445,3,['7', '4', '0'],,,,,,,,,,,,,,,,,,
GCA_000011465,4,['2', '1', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000011485,5,['6', '3', '1', '2', '0'],,,,,,,,,,,,,,,,
GCA_000011505,2,['3', '0'],,,,,,,,,,,,,,,,,,,
GCA_000011525,5,['6', '4', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000011545,5,['11', '5', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000011565,4,['6', '3', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000011605,7,['12', '7', '7', '3', '1', '1', '0'],,,,,,,,,,,,,,
GCA_000011625,6,['4', '2', '2', '2', '1', '0'],,,,,,,,,,,,,,,
GCA_000011645,9,['10', '4', '7', '14', '12', '10', '4', '1', '0'],,,,,,,,,,,,
GCA_000011665,3,['6', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000011685,5,['8', '5', '4', '1', '0'],,,,,,,,,,,,,,,,
GCA_000011705,12,['8', '2', '2', '1', '2', '2', '2', '2', '1', '1', '2', '0'],,,,,,,,,
GCA_000011725,4,['5', '3', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000011745,3,['4', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000011765,4,['5', '3', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000011785,4,['9', '5', '3', '0'],,,,,,,,,,,,,,,,,
GCA_000011805,5,['9', '6', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000011825,6,['8', '3', '7', '3', '1', '0'],,,,,,,,,,,,,,,
GCA_000011845,4,['9', '4', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000011865,3,['3', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000011885,13,['6', '2', '1', '2', '3', '3', '4', '5', '7', '9', '6', '3', '0'],,,,,,,,
GCA_000011905,3,['7', '3', '0'],,,,,,,,,,,,,,,,,,
GCA_000011925,3,['8', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000011945,3,['13', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000011965,7,['16', '7', '5', '2', '1', '1', '0'],,,,,,,,,,,,,,
GCA_000011985,4,['3', '1', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000012005,7,['7', '3', '4', '10', '10', '5', '0'],,,,,,,,,,,,,,
GCA_000012025,4,['13', '10', '3', '0'],,,,,,,,,,,,,,,,,
GCA_000012045,3,['5', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000012065,3,['6', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000012085,5,['7', '5', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000012105,3,['7', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000012125,4,['3', '2', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000012145,4,['6', '5', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000012165,4,['7', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000012185,7,['4', '1', '3', '2', '1', '1', '0'],,,,,,,,,,,,,,
GCA_000012205,5,['10', '6', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000012225,2,['6', '0'],,,,,,,,,,,,,,,,,,,
GCA_000012245,4,['7', '1', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000012265,4,['8', '3', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000012305,8,['8', '9', '8', '3', '3', '3', '2', '0'],,,,,,,,,,,,,
GCA_000012325,3,['7', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000012345,3,['4', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000012365,4,['10', '4', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000012385,5,['7', '1', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000012405,2,['4', '0'],,,,,,,,,,,,,,,,,,,
GCA_000012425,3,['8', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000012445,3,['11', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000012465,4,['6', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000012485,7,['12', '3', '3', '1', '1', '1', '0'],,,,,,,,,,,,,,
GCA_000012505,13,['10', '6', '5', '7', '8', '3', '2', '2', '1', '1', '1', '1', '0'],,,,,,,,
GCA_000012525,5,['9', '6', '6', '2', '0'],,,,,,,,,,,,,,,,
GCA_000012565,3,['6', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000012585,6,['10', '12', '11', '2', '1', '0'],,,,,,,,,,,,,,,
GCA_000012605,12,['6', '4', '3', '4', '5', '2', '5', '5', '3', '1', '1', '0'],,,,,,,,,
GCA_000012625,4,['6', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000012645,3,['3', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000012665,7,['6', '2', '3', '2', '2', '2', '0'],,,,,,,,,,,,,,
GCA_000012685,4,['6', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000012705,5,['7', '4', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000012725,21,['9', '2', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
GCA_000012745,10,['7', '3', '1', '1', '1', '1', '1', '1', '1', '0'],,,,,,,,,,,
GCA_000012765,8,['5', '3', '2', '1', '1', '1', '1', '0'],,,,,,,,,,,,,
GCA_000012785,4,['10', '4', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000012805,21,['13', '3', '3', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
GCA_000012825,4,['12', '4', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000012845,4,['17', '5', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000012865,4,['10', '4', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000012885,4,['6', '4', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000012905,5,['4', '1', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000012925,4,['10', '3', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000012945,5,['6', '3', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000012965,9,['11', '3', '1', '1', '1', '1', '1', '3', '0'],,,,,,,,,,,,
GCA_000012985,6,['6', '3', '2', '1', '1', '0'],,,,,,,,,,,,,,,
GCA_000013005,5,['5', '2', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000013025,6,['12', '9', '4', '1', '1', '0'],,,,,,,,,,,,,,,
GCA_000013045,4,['10', '3', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000013065,3,['11', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000013085,6,['6', '5', '1', '1', '1', '0'],,,,,,,,,,,,,,,
GCA_000013105,4,['11', '5', '5', '0'],,,,,,,,,,,,,,,,,
GCA_000013125,3,['7', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000013145,3,['4', '3', '0'],,,,,,,,,,,,,,,,,,
GCA_000013165,5,['6', '4', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000013185,2,['4', '0'],,,,,,,,,,,,,,,,,,,
GCA_000013205,4,['6', '3', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000013225,3,['7', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000013245,4,['6', '3', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000013265,6,['10', '6', '12', '7', '1', '0'],,,,,,,,,,,,,,,
GCA_000013285,21,['5', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
GCA_000013305,5,['12', '12', '12', '3', '0'],,,,,,,,,,,,,,,,
GCA_000013325,5,['8', '6', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000013345,10,['7', '4', '5', '4', '3', '2', '4', '2', '1', '0'],,,,,,,,,,,
GCA_000013365,4,['7', '3', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000013385,5,['7', '3', '1', '2', '0'],,,,,,,,,,,,,,,,
GCA_000013405,8,['8', '5', '9', '9', '2', '1', '1', '0'],,,,,,,,,,,,,
GCA_000013425,6,['5', '3', '1', '1', '1', '0'],,,,,,,,,,,,,,,
GCA_000013465,7,['3', '2', '1', '2', '1', '1', '0'],,,,,,,,,,,,,,
GCA_000013485,4,['9', '3', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000013505,3,['5', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000013525,4,['8', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000013545,5,['7', '2', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000013565,4,['10', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000013585,5,['12', '11', '5', '2', '0'],,,,,,,,,,,,,,,,
GCA_000013605,3,['8', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000013625,4,['7', '7', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000013645,3,['8', '1', '0'],,,,,,,,,,,,,,,,,,
